Section,Variable Name,Label,Definition (Validated from Protocol),Additional Notes (Validated from Protocol),Optum CDM Implementation,R Code Implementation,Sync Status (OrigSpec/Protocol/Code),Sync Status Notes,Date Modified (Initials + Date),QC Reviewed (Initials + Date),Discrepancy Found in Original Program Spec
Study Time Period,STUDYPD,Full study period,"01July2015 - 30June2025 (inclusive)","Allows for 6 months lookback and no required minimum length of follow-up. The variable-length follow-up begins on the index date and ends at the earliest of death, health plan disenrollment, or the end of the study period (Protocol Section 4.1).","Study period dates are applied as date filters across T_MEDICAL (FST_DT), T_RX (FILL_DT), T_MED_DIAGNOSIS (FST_DT), and T_MEMBER_CONT_ENROLLMENT (ELIGEFF/ELIGEND). Death date sourced from T_DOD (YMDOD). Disenrollment derived from ELIGEND in T_MEMBER_CONT_ENROLLMENT (<=30 day gap rollup).","new_code.R lines 78-79: study_start='2015-07-01' and study_end='2025-06-30'. lot_program.R line 65: study_end env var defaults to '2025-06-30'. lot_analysis.R lines 61-62: study_start='2015-07-01' and study_end='2025-06-30'. ENDDATE computed in new_code.R lines 2418-2421 as LEAST(study_end, DEATH_DT). ENDDATE_CE computed as LEAST(study_end, DEATH_DT, disenrollment_end).",NYY,"Original spec had garbled text ('ID_PD end at ends at') and omitted health plan disenrollment as a follow-up endpoint. Protocol and code both correctly include death, disenrollment, and study end.",,"Original said 'ID_PD end at ends at the earliest of death or the end of the study period' which was garbled text and omitted health plan disenrollment as an endpoint."
Study Time Period,ID_PD,Patient identification period,"01Jan2016 - 30June2025 (inclusive)","Patients with newly diagnosed MM are identified during this period. The date of the first claim with a diagnosis code for MM during the identification period is the index date (Protocol Section 4.1).","MM diagnosis events filtered from T_MED_DIAGNOSIS using FST_DT BETWEEN '2016-01-01' AND '2025-06-30'. ICD codes matched via DIAG field; ICD_FLAG distinguishes ICD-9 ('9') vs ICD-10 ('10'). DIAG_POSITION used to identify diagnosis position on claim.","new_code.R lines 80-81: id_start='2016-01-01' and id_end='2025-06-30'. Step 08b (new_code.R line ~1675): filters MM events with WHERE svc_dt BETWEEN date(id_start) AND date(id_end).",YYY,"All three sources specify 01Jan2016 - 30June2025 consistently.",,"No discrepancy found. Aligned with protocol."
Study Time Period,INDEX,Index date,"Date of the patient's earliest qualifying multiple myeloma diagnosis date during the identification period.","Patients are required to have at least 1 inpatient medical claim with a diagnosis code for MM in any position (ICD-9-CM=203.0x or ICD-10-CM code=C90.0x) or at least 2 outpatient medical claims for MM in any position on the claim, on separate days within 90 days, during the identification period. Patients with 2 claims 30 or 60 days apart will also be flagged for consideration. The index date is the date of the first medical claim for MM within the identification period. Diagnosis codes for MM are in tab 42 'MM dx code'. As data in Optum CDM is collected primarily for health insurance and not research purposes, all MM diagnosis codes are to be considered and the code list will not be limited to those specifically indicated for newly diagnosed MM. Flags should also be made to distinguish which claims are non-diagnostic claims. A non-diagnostic claim refers to a claim for treatment of a condition (e.g., infusion) rather than diagnosis (see tab 49 'Diagnostic') (Protocol Section 4.2, Inclusion Criterion 1).","Inpatient qualification uses T_MEDICAL joined with T_MED_DIAGNOSIS (PAT_ID + CLMID). Inpatient flag derived from POS IN (21,51,61) OR TOS_CD IN ('FAC_IP.ACUTE','FAC_IP.REHSNF','PROF.INPVIS','FAC_IP.SNF') OR CONF_ID validated in T_CONFINEMENT (ADMIT_DATE and DISCH_DATE present). STRICT ICD codes (203.0x/C90.0x) used for inpatient qualifying; BROAD codes (203.x/C90.x) used for outpatient qualifying. Outpatient requires 2 claims on separate days within 30/60/90 day windows. Non-diagnostic flag uses T_MED_PROCEDURE to check for treatment codes vs diagnostic-only codes.","new_code.R lines 670-702: ICD code definitions - STRICT codes (2030,20300,20301,20302,C900,C9000,C9001,C9002) for inpatient; BROAD codes (203.x/C90.x) for outpatient. Step 09 (line ~1688): mm_inpatient_potential uses inpatient_flg=1 AND mm_dx_strict_flg=1. Steps 10-11 (lines ~1701-1740): mm_outpatient_pairs builds date pairs with qualifies_30/60/90 flags. Step 12 (line ~1744): mm_qualifying combines IP+OP and assigns earliest index_date per patient. Step 16 (line ~2034): claim_nondiagnostic identifies non-diagnostic claims.",YYY,"All three sources agree: >=1 inpatient (203.0x/C90.0x) or >=2 outpatient within 90 days; earliest qualifying date = index date; 30/60 day flags for consideration.",,"No discrepancy found. Aligned with protocol."
Study Time Period,Baseline,Baseline period,"The baseline period is fixed and is the six months before the index date.","Patients must have six months of continuous enrollment (CE) with medical AND pharmacy benefits before the index date. Patients with gaps in enrollment of <=30 days are considered to be continuously enrolled. The purpose of the baseline is to create a period during which patients who were previously diagnosed with MM are identified; if treated in the baseline period, these patients will be excluded (see Exclusion Criteria). If not treated in the baseline period, these patients will be assumed to be smoldering until the point of treatment in the follow-up period (Protocol Section 4.2, Inclusion Criterion 3).","CE spans built from T_MEMBER_CONT_ENROLLMENT (pre-rolled <=30 day gap table) using ELIGEFF and ELIGEND. Baseline period = index_date - 183 days to index_date - 1. CE check verifies enrollment span covers entire baseline period. Baseline MM therapy exposure checked against T_RX (FILL_DT + NDC) and T_MEDICAL (FST_DT + PROC_CD/HCPCS) for approved MM oncology therapies.","new_code.R line 82: baseline_days=183 (6 months). Step 14 (line ~1900): baseline_start = date_sub(index_date, 183) and baseline_end = date_sub(index_date, 1). CE_b flag checks enrollment span covers full baseline. Step 17 (line ~2092): mm_baseline_nondx_flag checks for >=1 MM claim (203.0x/C90.0x) in baseline. Step 17b (line ~2149): baseline therapy check for MM oncology treatments in baseline period.",NYY,"Original spec said 'medical OR pharmacy benefits'; protocol says 'medical AND pharmacy benefits'. Code uses T_MEMBER_CONT_ENROLLMENT which per Optum CDM Section 4.4 restricts to members with both medical and pharmacy benefits, so code aligns with protocol.",,"Original program spec said 'medical or pharmacy benefits'. Protocol (Section 4.2, Criterion 3) states 'medical and pharmacy benefits'. Changed 'or' to 'and'."
Study Time Period,FU_PD,Follow up period,"The follow-up period begins on the index date and is variable-length, ending at the earliest of death, health plan disenrollment, or the end of the study period (30June2025).","Patients are only required to have >=1 day of CE starting on the index date until death or study period end. Patients with gaps in enrolment of <=30 days are considered to be continuously enrolled; consider medical and/or pharmacy benefits. Note: Patients with >=3 months of CE with medical or pharmacy benefits from the index date (with no allowable gaps in enrollment), or who have an assigned date of death <3 months after the index date, will be flagged for consideration for sensitivity or secondary analyses, ending on the earliest of health plan disenrollment or the study period end. For patients with an assigned date of death <3 months after the index date, these patients are retained and have a limited follow-up period that ends at the assigned date of death (Protocol Section 4.2, Inclusion Criterion 4).","Death date from T_DOD table (YMDOD = year+month of death; assigned date set to 15th of month per protocol Section 4.5). Disenrollment from T_MEMBER_CONT_ENROLLMENT ELIGEND. Follow-up end = LEAST(study_end, DEATH_DT, disenrollment). CE_f flag requires enrollment on index_date. CE_3mosf (strict no-gap) flags patients with >=91 days of strict CE from index for sensitivity analyses. FU_DAYS and FU_DAYS_CE calculated as datediff from index_date.","new_code.R Step 14 (line ~1906): CE_f checks has_1day_followup (enrollment on index_date). ENDDATE_CE = max(cov_end) from enrollment spans. Step 13b (line ~1836): strict enrollment spans (NO gaps allowed) for CE_3mosf sensitivity flag - requires enrollment through min(index+91, death, study_end). Step 23 (line ~2418): ENDDATE = LEAST(study_end, DEATH_DT); ENDDATE_CE = LEAST(study_end, DEATH_DT, disenrollment_end). lot_program.R line ~2899: OBS_END_DT = coalesce(ENDDATE_CE, ENDDATE).",NYY,"Original spec defined FU as 'from index date til end of patient identification period' - omitting death and disenrollment as endpoints. Protocol specifies earliest of death/disenrollment/study end. Code correctly implements ENDDATE_CE = LEAST(study_end, DEATH_DT, disenrollment).",,"Original definition said 'from the index date til the end of the patient identification period (inclusive)' which omitted death and health plan disenrollment as endpoints. Protocol (Section 4.2, Criterion 4) specifies the follow-up ends at the earliest of death, health plan disenrollment, or end of study period. Also added missing protocol language about patients with assigned date of death <3 months being retained."
Source Data Preparation,Days to months conversion,Days to months conversion,"Assuming 30.4375 days per month for all month-to-day conversions.","3 months = 91 days, 6 months = 183 days, 9 months = 274 days, 12 months = 365 days.","Applied consistently when converting protocol month-based criteria to day-based filters in Optum CDM queries. All date arithmetic uses exact day counts rather than calendar months.","new_code.R line 82: baseline_days=183 (6 months). Line 84-86: dx_window_30=30, dx_window_60=60, dx_window_90=90. CE_3mosf uses 91 days (3 months) at line ~1891. gap_days=30 at line 83.",YYY,"All three sources use consistent day conversions: 6 months=183 days, 3 months=91 days. Protocol does not explicitly state conversion factors but all implementations are internally consistent.",,"No discrepancy found. This is implementation-specific and not explicitly in the protocol."
Source Data Preparation,ELIG_COH,Eligibility cohort - smoldering MM,"Study team does not want to exclude smoldering MM patients. Optum built study cohort with the intention to exclude smoldering MM patients.","The team will additionally include patients who had >=1 non-diagnostic medical claim for MM during the baseline period. These patients were excluded by Optum originally. If a patient has newly diagnosed or active MM, it would be likely that they would experience frequent activity, hence why we look for 2 non-diagnostic MM claims close together in the first step of the attrition table. A smoldering patient would have infrequent activity, hence why a claim for MM that falls outside of the 30, 60, or 90 days window requirement used to identify newly diagnosed patients is likely a smoldering patient. Study team will consider excluding patients with a standalone treatment code (rather than any non-diagnostic code) on an MM claim in the baseline period for future sensitivity analysis. This would not remove smoldering patients but rather ensure our patients were newly active MM patients (Protocol Section 4.2; Appendix C).","Smoldering MM patients identified by checking T_MED_DIAGNOSIS for MM codes (203.0x/C90.0x) in baseline period that fall outside the 30/60/90-day outpatient window. Non-diagnostic claims identified by joining T_MEDICAL with T_MED_PROCEDURE to distinguish treatment claims from diagnostic-only claims. ELIG_COH_ALLFLAGS table stores all flags; final ELIG_COH_FINAL applies selected criteria.","new_code.R Step 16 (line ~2034): claim_nondiagnostic step identifies non-diagnostic MM claims - 'a claim where MM diagnosis is present AND there is at least one service line that is NOT a diagnostic code'. Step 17 (line ~2092): mm_baseline_nondx_flag checks baseline MM claims. Step 23 (line ~2418): ELIG_COH_ALLFLAGS aggregates all flags. Step 24+: ELIG_COH_FINAL applies selected inclusion/exclusion criteria. Run mode (line 385): BASE_ONLY builds flags only; FILTER_ONLY applies criteria.",YYY,"All three sources agree: smoldering MM patients are not excluded. Protocol Appendix C documents the pressure-testing rationale. Code implements non-diagnostic flags and keeps smoldering patients in the cohort.",,"No discrepancy found. Consistent with protocol language in Section 4.2 regarding baseline criteria and Appendix C pressure-testing criteria."
Source Data Preparation,FU_PD_CE,Follow-up period CE requirement,"Original IE criteria from Optum only considers patients with at least 6 months of CE from index onwards.","Study team resolved to only require at least 1 day of CE post index, though will flag patients with 3 or more months of CE to potentially subset on these patients for later consideration. The team is not particularly interested in excluding patients early. Consistent with Protocol Section 4.2 Inclusion Criterion 4: >=1 day of CE starting on the index date (Protocol Section 4.2, Inclusion Criterion 4).","T_MEMBER_CONT_ENROLLMENT used for standard <=30 day gap CE spans. T_MEMBER_ENROLLMENT (raw, not pre-rolled) used for strict no-gap CE_3mosf sensitivity flag. CE_f requires enrollment covering index_date. CE_3mosf requires continuous coverage (no gaps) through index+91 days.","new_code.R Step 13 (line ~1786): enrollment_spans built from member_cont_enrollment with 30-day gap allowance using ELIGEFF/ELIGEND. Step 13b (line ~1836): enrollment_spans_strict built from raw member_enrollment with NO gap allowance (date_add(max_end_so_far, 1)). Step 14 (line ~1906): CE_f = has_1day_followup; CE_3mosf = strict coverage through min(index+91, death, study_end). lot_program.R line 68: input_cohort_table defaults to ELIG_COH_FINAL from Part 1.",YYY,"All three sources agree: >=1 day CE required (not 6 months). 3-month CE flagged for sensitivity. Protocol Criterion 4 specifies >=1 day. Code implements CE_f as 1-day check and CE_3mosf as sensitivity flag.",,"No discrepancy found. The resolution aligns with protocol which requires >=1 day of CE."
Source Data Preparation,Inpatient Classification,Inpatient vs non-inpatient classification,"A claim is classified as inpatient using two approaches in combination (OR logic) per Optum CDM business rules guidance.","Approach 1 (POS/TOS): Inpatient if POS IN (21, 51, 61) OR TOS_CD IN ('FAC_IP.ACUTE', 'FAC_IP.REHSNF', 'PROF.INPVIS', 'FAC_IP.SNF'). Approach 2 (CONF_ID): Inpatient if CONF_ID is NOT NULL and validated against T_CONFINEMENT table with both ADMIT_DATE and DISCH_DATE present. Non-inpatient: All records not meeting either approach above. A claim is classified as inpatient if either approach identifies it as inpatient. This maximizes capture of true inpatient encounters. Rationale: Using both approaches together provides the most comprehensive inpatient identification.","Optum business rules document specifies two approaches: (1) POS/TOS_CD from T_MEDICAL for service-setting classification; (2) CONF_ID from T_CONFINEMENT for hospitalization-based classification. Per Optum guidance: CONF_ID approach is preferred for services during hospitalization with room and board; POS/TOS approach is acceptable when not restricted to hospitalization. Validation on 2025q2 data showed: Total patients=94951; Any inpatient=43439 (45.2%); POS/TOS only=3082 (3.2%); CONF_ID only=821 (0.9%); Both=39536 (41.1%); Outpatient only=52757 (54.8%).","new_code.R Step 07a (line ~1583): med_claim_header extracts max(CONF_ID), max(POS), max(TOS_CD) per claim from T_MEDICAL. Step 07b (line ~1605): confinement step extracts records from T_CONFINEMENT with valid ADMIT_DATE and DISCH_DATE. Lines 1619-1642: inpatient_flg = CASE WHEN POS IN ('21','51','61') OR TOS_CD IN ('FAC_IP.ACUTE','FAC_IP.REHSNF','PROF.INPVIS','FAC_IP.SNF') OR (CONF_ID IS NOT NULL AND confinement validated) THEN 1 ELSE 0 END. the data-prep spec page 3 validation statistics confirm approach.",YYY,"All three sources agree on dual-approach inpatient classification (POS/TOS OR CONF_ID). Protocol does not detail the approach explicitly but requires inpatient claim identification; spec and code both implement the same OR logic per Optum business rules.",,"No discrepancy found. Implementation-specific operational detail not explicitly in protocol but consistent with protocol intent regarding inpatient claim identification (Protocol Section 4.2, Inclusion Criterion 1)."
Inclusion/Exclusion Criteria,AGE_INCL,Age inclusion criterion,"Adults: >= 18 years of age in index calendar year (Protocol Section 4.2, Inclusion Criterion 2).","Age is calculated as the difference between the index calendar year and the year of birth (YRDOB). This is an inclusion criterion applied during cohort attrition (Step 2).","Age derived from T_MEMBER_CONT_ENROLLMENT using YRDOB field. AGE_INDEX_YR = year(index_date) - YRDOB. Demographics extraction preferentially selects non-unknown gender (GDR_CD NOT IN ('U','')) using latest enrollment record as tiebreaker.","new_code.R lines 170-171: apply_age=TRUE, min_age=18. Step 15_member_demo (lines 1930-1948): extracts YRDOB and GDR_CD from member_cont_enrollment. Line 2411: AGE_INDEX_YR = year(index_date) - YRDOB. Line 2542: filter AND AGE_INDEX_YR >= min_age. Attrition Step 2 (lines 2788-2796): 'Age >= 18 at index year'.",NYY,"Not mentioned anywhere in original program spec PDF. Protocol Section 4.2 Inclusion Criterion 2 requires age >= 18. Code implements this as a configurable inclusion criterion (default: apply_age=TRUE, min_age=18).",,"Missing from original program spec. Protocol (Section 4.2, Inclusion Criterion 2) specifies 'Adults: >= 18 years of age in index calendar year.' Code implements via AGE_INDEX_YR >= 18."
