id,type,cohort,criterion,protocol_text,window,optum_tables,optum_columns,codelist,status_vs_current_build,protocol_ref
I1,Inclusion,1L; 2L; 3L; Secondary 2L,MM diagnosis,"At least one inpatient medical claim with a diagnosis code for MM in any position (any ICD-9-CM=203.0x or ICD-10-CM code=C90.0x) or >=2 outpatient medical claims for MM in any position on the claim, on separate days within 90 days, during the study period",Study period; outpatient pair <=90 days apart,diagnosis; medical; confinement,DIAG; ICD_FLAG; FST_DT; CLMID; LOC_CD; PAT_PLANID; POS; TOS_CD; CONF_ID; ADMIT_DATE; DISCH_DATE,mm_dx.csv,"Decide first - Q2 (outpatient arm code set). The build already has the two-arm mechanism; only mm_dx.csv is narrow, so the broad reading is a code-list edit",7.2.1.1
I2,Inclusion,1L,Adult age,Aged >=18 years at the time of MM diagnosis according to calendar year,At MM diagnosis,member_enrollment,YRDOB,-,Matches,7.2.1.1
I3,Inclusion,1L,Eligible 1L treatment,"Received an eligible or expected treatment for MM on or after MM diagnosis (other than belantamab), occurring on or after 01 Jan 2019. Eligible/expected treatments exclude those restricted to later LOTs; exclusions include panobinostat and elotuzumab. Full list in Annex 2",On/after MM_DX_DT and on/after 2019-01-01,rx; medical; procedure,NDC; FILL_DT; PROC_CD; BILL_PROC_CD; FST_DT; PROC; ICD_FLAG,cl_mma_codelist.csv; Annex 2 (missing),Change - LOT1_FROM 2017->2019; add panobinostat + elotuzumab bars,7.2.1.1
I4,Inclusion,1L,Continuous enrolment before index,CE of at least 12-months with medical and pharmacy benefits before the 1L cohort index date. Patients with gaps in enrolment of <=30 days are considered to be continuously enrolled,"[index-365, index-1]",member_enrollment,PATID; ELIGEFF; ELIGEND,-,"Matches - the extract does not separate medical and pharmacy benefits, so the requirement is satisfied by construction",7.2.1.1
I5,Inclusion,1L; 2L; 3L; Secondary 2L,Evidence of follow-up,At least one claim (pharmacy or medical) from index date or death,From index date,medical; rx; dod,FST_DT; FILL_DT; YMDOD,-,Change - replaces FU_CE_DAYS=0 and SUBSEQ_FU_CE_DAYS=90,7.2.1.1
N1,Inclusion,2L; 3L,Received the subsequent line,"Received a subsequent LOT required to qualify for a specific cohort (i.e., received a 2L treatment for 2L, 3L for 3L)",-,LOT output,LOT_NUM; LOT_START_DT,-,Matches,7.2.1.1
N2,Inclusion,2L; 3L,Continuous enrolment before that line,CE of at least 12-months with medical and pharmacy benefits before the cohort index date (2L or 3L). Gaps <=30 days are continuous,"[line index-365, line index-1]",member_enrollment,PATID; ELIGEFF; ELIGEND,-,Matches (SUBSEQ_PRE_DAYS=365),7.2.1.1
X1,Exclusion,1L,MM oncology therapy in the 12-month 1L baseline,>=1 medical or pharmacy claim for any MM oncology therapy during the 12-month 1L baseline period,"[index-365, index-1]",rx; medical; procedure,NDC; FILL_DT; PROC_CD; BILL_PROC_CD; PROC; FST_DT,cl_mma_codelist.csv,Matches today - the build's steroid drop removes nothing on the production code list; becomes a decision when Annex 2's therapy list arrives,7.2.1.2
X2,Exclusion,1L,Another cancer in the 1L baseline,"Patients with either >=1 inpatient or >=2 outpatient ICD-9-CM or ICD-10-CM codes on separate days, within 30 days, for the same primary tumor type and/or metastatic cancer will be excluded","[index-365, index-1]; outpatient pair <=30 days apart",diagnosis; medical; confinement,DIAG; ICD_FLAG; FST_DT; POS; TOS_CD; CONF_ID,other_malig.csv,"Matches (the build already pairs within 30 days on distinct dates) - confirm the four layered readings, above all that bone metastasis C79.51 excludes",7.2.1.2
X3,Exclusion,1L,Pregnancy or childbirth,">=1 of medical claim with a diagnosis, procedure, or revenue code indicating pregnancy or childbirth during the study period",Whole study period,diagnosis; medical; procedure,DIAG; PROC_CD; BILL_PROC_CD; RVNU_CD; PROC,pregnancy.csv,Matches - the scan already admits ICD9DIAG/ICD10DIAG/ICD9PROC/ICD10PROC/HCPCS/REV and the production file carries REV codes,7.2.1.2
X4,Exclusion,1L,Belantamab mafodotin in any LOT,"Received belantamab mafodotin (i.e., an ADC) in any LOT. Note: at the time of study belantamab mafodotin was the only ADC in use for MM",Any LOT,rx; medical; procedure; LOT output,NDC; PROC_CD; BILL_PROC_CD; CL_MED_ABBR,cl_mma_codelist.csv,Matches,7.2.1.2
S1,Inclusion,Secondary 2L,2L index on or after 01 Jan 2020,"A sensitivity analysis in which all patients initiating an assumed 2L therapy on >=01 Jan 2020 will be assessed, irrespective of whether their 1L initiation occurred during the primary cohort ascertainment period",2L start >= 2020-01-01,LOT output,LOT_NUM; LOT_START_DT,-,New,7.4.1.1
S2,Modification,Secondary 2L,Prior malignancy permitted,"All inclusion/exclusion criteria will be the same as the primary cohort, with the exception of the index date. Patients in this analysis are eligible if there is evidence of a malignancy prior to 2L. Confirmed by 7.8.1: prior history of malignancy during baseline is permitted per eligibility criteria",-,-,-,-,New - X2 does not apply,7.4.1.1; 7.8.1
A1,Analysis set,1L; 2L; 3L; Secondary 2L,3 months potential follow-up,Outcomes will only be assessed in the subset of patients who have >=3 months of potential follow-up (or die before 3 months) from their index date,"index+90 <= study end, or death before index+90",dod,YMDOD,-,"New - a flag (TTE_ELIGIBLE), not a filter",7.8.2
