Section,Variable Name,Label,Definition (Validated from Protocol),Additional Notes (Validated from Protocol),Optum CDM Implementation,R Code Implementation,Sync Status (OrigSpec/Protocol/Code),Sync Status Notes,Date Modified (Initials + Date),QC Reviewed (Initials + Date),Discrepancy Found in Original Program Spec
Maintenance Definition,MAINT_REGIMEN_DEF,"Maintenance regimen definition","A maintenance regimen is a period of 120 days or longer during which only a valid maintenance therapy is available (see valid maintenance therapies below). Maintenance is not required to be prescribed continuously for the duration of the 120 day period. Furthermore, the maintenance therapy must have been a part of the LOT's initial regimen (for LOT1 the initial regimen includes all MM therapies identified during the first 60 days of LOT1, for LOT2-5 the initial regimen is defined as all MM therapies identified during the first 30 days of the LOT).","Protocol Section 5.1.1 Maintenance regimen: 'A maintenance regimen is a period of 120 days or longer during which only a valid maintenance therapy is available. Maintenance is not required to be prescribed continuously for the duration of the 120 day period. Furthermore, the maintenance therapy must have been a part of the LOT's initial regimen.'",Not yet implemented,lot_program.R lines 4037-4038 note maintenance specs not yet provided,NNP,Protocol defined; lot1baseend has placeholder maintenance vars (LOT1_BASEMAINT_*) but full logic not implemented,,,No original spec exists for maintenance
Maintenance Definition,MAINT_MIN_PERIOD,"Minimum maintenance period (non-SCT)","120 days. A valid maintenance regimen requires a period of 120 days or longer during which only a valid maintenance therapy is available.","Protocol Section 5.1.1: 'A maintenance regimen is a period of 120 days or longer during which only a valid maintenance therapy is available.'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Maintenance Definition,MAINT_POST_SCT_MIN_PERIOD,"Minimum maintenance period after SCT","30 days (minimum). Following an autologous SCT (within 180 days of the HSCT or in the case of a tandem autologous HSCT within 180 days of the second HSCT). The expectation after an HSCT is for a maintenance period and thus instead of the usual 120 days, we check for a valid 30-day (minimum) maintenance period.","Protocol Section 5.1.1: 'Following an autologous SCT... instead of the usual 120 days, we check for a valid 30-day (minimum) maintenance period. Any valid maintenance regimens present after a single autologous SCT or after the second SCT of a tandem autologous SCT will be considered. These maintenance drugs must have been part of the LOT's initial regimen.'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Maintenance Definition,MAINT_POST_SCT_FU_EXCEPTION,"Maintenance period shortened by end of follow-up after SCT","If a full 30-day period is unable to be observed due to the end of follow-up, whatever days are available will be the maintenance period to avoid a new LOT starting immediately before the end of follow-up.","Protocol Section 5.1.1: 'If a full 30-day period is unable to be observed due to the end of follow-up, we will still count whatever days are available as a maintenance period to avoid a new LOT starting immediately before the end of follow-up.' Also footnote 1: 'If an otherwise valid maintenance period that came after an SCT did not reach 120 days due to follow-up ending, then that period is still assigned as maintenance.'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Maintenance Situation 1,MAINT_TRANSITION_RULE,"LOT regimen transitions into maintenance","A maintenance regimen may occur when the LOT's initial regimen transitions into a maintenance regimen, such that non-maintenance medications present during the initial regimen are discontinued leaving only maintenance medications. For example, a patient has an initial regimen of cyclophosphamide and daratumumab, and then discontinues cyclophosphamide leaving only daratumumab, which is a valid mono maintenance.","Protocol Section 5.1.1 Maintenance regimen situation 1: 'The LOT's initial regimen transitions into a maintenance regimen, such that non-maintenance medications present during the initial regimen are discontinued leaving only maintenance medications.'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Maintenance Situation 2,MAINT_POST_SCT_RULE,"Maintenance following autologous SCT","Following an autologous SCT (within 180 days of the HSCT or in the case of a tandem autologous HSCT within 180 days of the second HSCT). Any valid maintenance regimens present after a single autologous SCT or after the second SCT of a tandem autologous SCT will be considered. These maintenance drugs must have been part of the LOT's initial regimen.","Protocol Section 5.1.1 Maintenance regimen situation 2: 'Following an autologous SCT (within 180 days of the HSCT...). The expectation after an HSCT is for a maintenance period and thus instead of the usual 120 days, we check for a valid 30-day (minimum) maintenance period.'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Valid Mono Maintenance,MAINT_LENA_MONO,"Lenalidomide monotherapy","Lenalidomide monotherapy. NCCN Preferred Regimen for both transplant and non-transplant candidates.","Protocol Section 5.1.1: 'Lenalidomide monotherapy (NCCN Preferred Regimen for both transplant and non-transplant candidates)'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Valid Mono Maintenance,MAINT_BORT_MONO,"Bortezomib monotherapy","Bortezomib monotherapy. NCCN Other Recommended Regimen for both transplant and non-transplant candidates.","Protocol Section 5.1.1: 'Bortezomib monotherapy (NCCN Other Recommended Regimen for both transplant and non-transplant candidates)'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Valid Mono Maintenance,MAINT_DARA_MONO,"Daratumumab monotherapy","Daratumumab monotherapy. NCCN Other Recommended Regimen for transplant candidates. Protocol notes: any maintenance medications listed will be considered for all patients regardless of transplant status.","Protocol Section 5.1.1: 'Daratumumab monotherapy (NCCN Other Recommended Regimen for transplant candidates)'. 'Any of the maintenance medications listed above will be considered maintenance medications for all patients, regardless of transplant status.'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
Valid Mono Maintenance,MAINT_IXAZ_MONO,"Ixazomib monotherapy","Ixazomib monotherapy. NCCN Other Recommended Regimen for both transplant and non-transplant candidates.","Protocol Section 5.1.1: 'Ixazomib monotherapy (NCCN Other Recommended Regimen for both transplant and non-transplant candidates)'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented,,,No original spec exists for maintenance
