Section,Variable Name,Label,Definition (Validated from Protocol),Additional Notes (Validated from Protocol),Optum CDM Implementation,R Code Implementation,Sync Status (OrigSpec/Protocol/Code),Sync Status Notes,Date Modified (Initials + Date),QC Reviewed (Initials + Date),Discrepancy Found in Original Program Spec
Section A: Defining Analytic Variables,FU_PD CODE,"The code used to identify the [MED]","The NDC or HCPCS code from the claim that matches an MM-approved therapy in the code list. Derived by joining claim codes against the MMA codelist (Tab 40/41) where CODE = CL_CODE.","Protocol Section 5.1: NDC codes and HCPCS codes for approved MM therapies are specified in the programming specification tabs 'MM approved therapy - NDC' and 'MM approved therapy - HCPCS'. Codes are matched from pharmacy (NDC) and medical (HCPCS/NDC) claims against the master codelist.","T_MEDICAL: PROC_CD field (CPT/HCPCS procedure code, Char $10), BILL_PROC_CD field (alternate billing HCPCS), and NDC field (National Drug Code on medical claims). T_RX: NDC field (National Drug Code). Codes are normalized: HCPCS stripped of non-alphanumeric chars and uppercased; NDC stripped to digits and left-padded to 11 characters.","lot_program.R lines 2784-2794 (S01_mma_codelist): Creates mma_codelist view with CL_CODE_TYPE, CL_CODE (normalized), CL_MEDICATION_FULL, CL_MED_CLASS, CL_MED_ABBR. Lines 2937-3025 (S04_mma_med_raw): Four subqueries join claims to codelist: med_proc_cd (PROC_CD matched to HCPCS codes), med_bill_proc_cd (BILL_PROC_CD matched to HCPCS), med_ndc (medical NDC matched to NDC codes), rx_claims (pharmacy NDC matched to NDC codes). Code normalization: upper(regexp_replace(PROC_CD, '[^A-Za-z0-9]', '')) for HCPCS; lpad(regexp_replace(NDC, '[^0-9]', ''), 11, '0') for NDC.",YYY,"Spec: Y - correctly states CODE is the code used to identify the medication. Protocol: Y - confirms NDC and HCPCS codes are the identification method for MM therapies. Code: Y - implements matching via codelist join with proper normalization.",,,"No discrepancy found. Aligned with protocol. Note: the code additionally checks BILL_PROC_CD and medical NDC fields beyond what the spec explicitly names, but this is consistent with the spec's intent to capture all relevant codes."
Section A: Defining Analytic Variables,FU_PD CODE_TYPE,"The type of code used to identify the [MED]","The code type classification: NDC (National Drug Code from pharmacy or medical claims) or HCPCS (Healthcare Common Procedure Coding System from medical claims). Values: NDC, HCPCS.","Protocol Section 5.1: MM-approved therapies are identified via NDC codes (pharmacy benefit) and HCPCS codes (medical benefit/infusion claims). The protocol references the programming specification tabs for complete code lists. Character variable.","T_MEDICAL: Code type is HCPCS when matching PROC_CD or BILL_PROC_CD fields; NDC when matching the NDC field on medical claims. T_RX: Code type is always NDC. The CL_CODE_TYPE field in the codelist distinguishes between 'HCPCS' and 'NDC'.","lot_program.R lines 2784-2794 (S01_mma_codelist): CL_CODE_TYPE field is upper-trimmed from source codelist. Lines 2937-2955 (med_proc_cd): c.CL_CODE_TYPE hardcoded check ON c.CL_CODE_TYPE = 'HCPCS'. Lines 3004-3025 (rx_claims): c.CL_CODE_TYPE = 'NDC'. The CODE_TYPE column in mma_med_raw is set to c.CL_CODE_TYPE from the codelist join.",YYY,"Spec: Y - correctly lists NDC and HCPCS as code type values. Protocol: Y - confirms these are the two code type categories. Code: Y - uses CL_CODE_TYPE from codelist with values 'NDC' and 'HCPCS'.",,,"No discrepancy found. Aligned with protocol."
Section A: Defining Analytic Variables,FU_PD CLAIM_TYPE,"Claim type","The source claim type: 'Medical' (from T_MEDICAL table, identified by HCPCS or NDC codes on medical claims) or 'Pharmacy' (from T_RX table, identified by NDC codes on pharmacy fills). Values: Medical, Pharmacy.","Protocol Section 5.1: MM therapies are captured from two claim sources - pharmacy benefit claims (oral therapies dispensed at pharmacy) and medical benefit claims (infused/injected therapies administered in facility outpatient, ambulatory care, or inpatient settings).","T_MEDICAL: All claims from this table are classified as CLAIM_TYPE = 'medical'. Includes facility and professional claims with HCPCS procedure codes (PROC_CD, BILL_PROC_CD) or NDC codes. T_RX: All claims from this table are classified as CLAIM_TYPE = 'pharmacy'. Contains dispensed prescription data with NDC codes, fill dates, and days supply.","lot_program.R lines 2937-2998 (S04_mma_med_raw): Three medical subqueries (med_proc_cd, med_bill_proc_cd, med_ndc) all set CLAIM_TYPE = 'medical'. Lines 3004-3025 (rx_claims): Sets CLAIM_TYPE = 'pharmacy'. Lines 3026-3029: UNION ALL combines all four sources. The CLAIM_TYPE field is used downstream for deduplication logic (lines 3068-3085).",YYY,"Spec: Y - correctly identifies Medical and Pharmacy as claim types. Protocol: Y - confirms pharmacy and medical benefit claims are the two sources. Code: Y - hardcodes 'medical' for T_MEDICAL sources and 'pharmacy' for T_RX sources.",,,"No discrepancy found. Aligned with protocol."
Section A: Defining Analytic Variables,FU_PD DAY_SUPPLY,"Days supply found on pharmacy claims","Days supply of medication. For pharmacy claims: taken from the actual days supply field (DAY_SUPPLY_SOURCE/DAYS_SUP) on the RX claim. For medical claims: hardcoded to 28 days (since medical claims do not carry days supply). Pharmacy claims with DAY_SUPPLY < 1 or missing are removed. Numeric variable.","Protocol Section 5.1.2 (LOT End Date): 'When days supply is missing or anomalous on pharmacy claims, 28 days will be assumed.' 'Medical claims: Days supply is always missing; 28 days supply is assumed.' The 28-day default for medical claims represents a standard treatment cycle assumption. DAY_SUPPLY_SOURCE on pharmacy claims reflects the supply (fill) of medication received (number of pills). Common values: 14, 28, 30, 60, 90. Additional rules: (1) Remove pharmacy claims with DAY_SUPPLY < 1 or missing. (2) All medical claims automatically get DAY_SUPPLY = 28. (3) For same-date pharmacy claims for same [MED], keep the claim with max DAY_SUPPLY. (4) For same-date medical claim-lines for same [MED], keep only one row.","T_RX: DAY_SUPPLY field (Numeric, INT format) - number of days the medication supply lasts, calculated from quantity and dosage. T_MEDICAL: No DAY_SUPPLY field exists; the value is hardcoded to 28 in the R code via cfg$medical_day_supply configuration parameter. Business rule: pharmacy claims with NULL or < 1 DAY_SUPPLY are filtered out.","lot_program.R lines 70-84 (config): cfg$medical_day_supply = as.integer(Sys.getenv('MEDICAL_DAY_SUPPLY', unset = '28')) - configurable default 28. Lines 2937-2955 (med_proc_cd): {cfg$medical_day_supply} AS DAY_SUPPLY hardcodes 28 for medical. Lines 3004-3025 (rx_claims): cast(r.DAYS_SUP AS int) AS DAY_SUPPLY from actual RX data. Lines 3063-3066 (S05 filtered): WHERE NOT (CLAIM_TYPE = 'pharmacy' AND (DAY_SUPPLY IS NULL OR DAY_SUPPLY < 1)). Lines 3068-3085 (dedup): max(DAY_SUPPLY) within GROUP BY PATID, MED_ABBR, DATE_SERVICE, CLAIM_TYPE. Line 3097: Validation assertion checks no pharmacy rows with invalid DAY_SUPPLY remain.",YYY,"Spec: Y - correctly defines DAY_SUPPLY logic for pharmacy (from source) and medical (28), with filtering and dedup rules. Protocol: Y - confirms 28-day default for medical and missing/anomalous pharmacy claims. Code: Y - implements all rules: hardcoded 28 for medical via config, actual DAYS_SUP for pharmacy, filters pharmacy < 1 or NULL, deduplicates via max(DAY_SUPPLY).",,,"No discrepancy found. Aligned with protocol. The spec label says 'Days supply found on pharmacy claims' which is slightly misleading since medical claims also receive a DAY_SUPPLY value (28), but the definition section correctly explains both cases."
Section A: Defining Analytic Variables,FU_PD DATE_SERVICE,"Claim/claim-line date of service","The date of service for the claim or claim-line. For medical claims: FST_DT (first/service date) from T_MEDICAL. For pharmacy claims: FILL_DT (prescription fill date) from T_RX. Equals DATE_SERVICE_SOURCE. Filtering rule: Keep only claims in MMA_[MED] where DATE_SERVICE >= INDEX_DATE and DATE_SERVICE <= ENDDATE (inclusive). Date variable.","Protocol Section 4.3 (Observation Period): Follow-up begins on the index date and ends at the earliest of death, health plan disenrollment, or end of study period (30 June 2025). All treatment claims must fall within this observation window. Deduplication rules: (1) If a patient has multiple claims for CLAIM_TYPE = pharmacy on the same DATE_SERVICE for the same [MED], keep the claim with max DAY_SUPPLY. (2) If a patient has multiple claim-lines for CLAIM_TYPE = medical on the same DATE_SERVICE for the same [MED], keep only one. (3) A patient is allowed to have BOTH a pharmacy and a medical claim on the same DATE_SERVICE for the same [MED]. Patient-level MMA_[MED] datasets are created containing only processed claims for each specific medication from eligible cohort patients.","T_MEDICAL: FST_DT field (date of service / beginning date for service being billed, Numeric YYMMDD10 format). T_RX: FILL_DT field (date prescription was filled, Numeric YYMMDD10 format). Both are cast to date type in the R code. Filtering joins against lot_patient_input table which provides INDEX_DATE and OBS_END_DT per patient.","lot_program.R lines 2937-2955 (med_proc_cd): cast(m.FST_DT AS date) AS DATE_SERVICE with filter WHERE cast(m.FST_DT AS date) >= p.INDEX_DATE AND cast(m.FST_DT AS date) <= p.OBS_END_DT. Lines 3004-3025 (rx_claims): cast(r.FILL_DT AS date) AS DATE_SERVICE with same date range filter. Lines 3068-3085 (S05 dedup): GROUP BY PATID, MED_ABBR, DATE_SERVICE, CLAIM_TYPE ensures pharmacy and medical on same date are both kept while deduplicating within each claim type.",YYY,"Spec: Y - correctly defines DATE_SERVICE as the service date filtered between INDEX_DATE and ENDDATE inclusive, with proper dedup rules. Protocol: Y - confirms observation period bounds the claim window. Code: Y - implements FST_DT for medical, FILL_DT for pharmacy, filters to [INDEX_DATE, OBS_END_DT], and deduplicates by (PATID, MED_ABBR, DATE_SERVICE, CLAIM_TYPE). Note: spec uses 'ENDDATE' while code uses 'OBS_END_DT' - these represent the same concept (patient observation end date).",,,"No discrepancy found. Aligned with protocol. Minor naming difference: spec references ENDDATE while code uses OBS_END_DT (both represent the patient's observation end date defined as earliest of death, disenrollment, or study end)."
Section A: Defining Analytic Variables,FU_PD MED_ABBR,"The medication's abbreviation","The standardized abbreviation for the MM-approved medication, derived from the codelist. Equals CL_MED_ABBR from the CODELIST (Tab 40/41) where the claim's CODE matches CL_CODE. Examples: BORT (bortezomib), LENA (lenalidomide), DARA (daratumumab), etc. For each patient-level dataset MMA_[MED], MED_ABBR will have an identical value for all rows equal to [MED].","Protocol Section 5.1: MM-approved therapies are enumerated including lenalidomide, bortezomib, daratumumab, ixazomib, thalidomide, carfilzomib, etc. The programming specification tabs contain the mapping between codes and medication abbreviations. Patient-level datasets (MMA_BORT, MMA_LENA, etc.) contain only claims for that specific medication. A patient is allowed to have duplicate DATE_SERVICE for [MED] if they have both a pharmacy and a medical claim on the same date.","T_MEDICAL and T_RX: The medication abbreviation is not a native CDM field. It is derived by joining claim codes (PROC_CD, BILL_PROC_CD, or NDC) against the MMA codelist lookup table which maps each code to its CL_MED_ABBR value.","lot_program.R lines 2784-2794 (S01_mma_codelist): CL_MED_ABBR = upper(trim(CL_MED_ABBR)) from codelist source. Lines 2937-3025 (S04_mma_med_raw): c.CL_MED_ABBR AS MED_ABBR assigned from codelist join in all four subqueries. Lines 3068-3085 (S05 dedup): MED_ABBR is part of the GROUP BY key (PATID, MED_ABBR, DATE_SERVICE, CLAIM_TYPE).",YYY,"Spec: Y - correctly defines MED_ABBR as CL_MED_ABBR from codelist where CODE = CL_CODE. Protocol: Y - confirms MM therapies are enumerated with specific names. Code: Y - derives MED_ABBR from codelist join and uses it as a grouping key in deduplication.",,,"No discrepancy found. Aligned with protocol."
Section A: Defining Analytic Variables,FU_PD MED_CLASS,"The medication's class","The therapeutic class of the MM-approved medication, derived from the codelist. Equals CL_MED_CLASS from the CODELIST (Tab 40/41) where the claim's CODE matches CL_CODE. Examples: PROTINHIB (proteasome inhibitor), IMMUNOMOD (immunomodulatory drug), ACD38 (anti-CD38 antibody), MUSTARD (alkylating agent), STEROID, etc. For each dataset MMA_[MED], MED_CLASS will have an identical value for all rows equal to [MED]'s [CLASS].","Protocol Section 5.1: MM therapies are classified by mechanism of action. Maintenance therapies referenced include lenalidomide (IMMUNOMOD), bortezomib (PROTINHIB), daratumumab (ACD38), ixazomib (PROTINHIB), thalidomide (IMMUNOMOD). The classification is used downstream for LOT regimen identification and maintenance therapy determination.","T_MEDICAL and T_RX: The medication class is not a native CDM field. It is derived by joining claim codes against the MMA codelist lookup table which maps each code to its CL_MED_CLASS value. The mma_rollup table also contains CL_MED_CLASS for enrichment purposes.","lot_program.R lines 2784-2794 (S01_mma_codelist): CL_MED_CLASS = upper(trim(CL_MED_CLASS)) from codelist source. Lines 2937-3025 (S04_mma_med_raw): c.CL_MED_CLASS AS MED_CLASS assigned from codelist join in all four subqueries. Lines 3068-3085 (S05 dedup): min(MED_CLASS) AS MED_CLASS used in aggregation (deterministic since all rows for same MED_ABBR have same class).",YYY,"Spec: Y - correctly defines MED_CLASS as CL_MED_CLASS from codelist where CODE = CL_CODE. Protocol: Y - confirms therapeutic classification of MM therapies. Code: Y - derives MED_CLASS from codelist join and uses min() for deterministic dedup (functionally identical since class is constant per medication).",,,"No discrepancy found. Aligned with protocol."
Section A: Defining Analytic Variables,FU_PD MED_COND,"Conditioning medication flag","Flag indicating whether the MM-approved medication is also used for conditioning (pre-transplant) therapy. If the conditioning flag is specified for a given MM-approved therapy in Tab 40, then = 'Yes'; else = 'No'. Values: Yes, No.","Protocol Section 5.1.2: The protocol discusses SCT (stem cell transplant) conditioning regimens. Certain MM therapies (e.g., melphalan) are used for conditioning prior to transplant. The conditioning flag from Tab 40 (mma_rollup) identifies which medications have this dual use. This flag is important for distinguishing treatment intent (active therapy vs. conditioning).","T_MEDICAL and T_RX: The conditioning flag is not a native CDM field. It is derived from the mma_rollup reference table which contains a CONDITIONING column (Yes/No or 1/0) mapped by medication abbreviation (CL_MED_ABBR).","lot_program.R lines 2756-2778 (S00_mma_rollup): CONDITIONING flag parsed with CASE WHEN upper(trim(cast(CONDITIONING AS string))) LIKE 'YES%' OR trim(cast(CONDITIONING AS string)) = '1' THEN 1 ELSE 0 END. Lines 3047-3062 (S05 enriched): CASE WHEN coalesce(ru.CONDITIONING, 0) = 1 THEN 'Yes' ELSE 'No' END AS MED_COND - joined from mma_rollup via LEFT JOIN on MED_ABBR = CL_MED_ABBR. Lines 3068-3085 (dedup): min(MED_COND) preserves value.",YYY,"Spec: Y - correctly defines MED_COND as Yes/No based on conditioning flag in Tab 40. Protocol: Y - confirms conditioning regimens are relevant for SCT-related treatment. Code: Y - implements conditioning flag from mma_rollup with robust parsing (handles 'YES', 'YES mainly...', '1', 0, NULL) and maps to 'Yes'/'No'.",,,"No discrepancy found. Aligned with protocol."
Section A: Defining Analytic Variables,FU_PD MED_other_cancer,"MM-approved medication that's indicated also for another cancer","Flag indicating whether the MM-approved medication is also indicated for treatment of another cancer type besides multiple myeloma. If the 'Used for other cancers outside of MM' flag is specified for a given MM-approved therapy in Tab 40, then = 'Yes'; else = 'No'. Values: Yes, No.","Protocol Section 4.2 (Exclusion Criterion 2): Patients with other primary cancer diagnoses in baseline are evaluated for exclusion. This flag identifies MM therapies that have FDA-approved indications for other cancers (e.g., lenalidomide for MDS/MCL, bortezomib for MCL, daratumumab for AL amyloidosis). The flag is used for sensitivity analyses and to contextualize treatment patterns.","T_MEDICAL and T_RX: The other cancer flag is not a native CDM field. It is derived from the mma_rollup reference table which contains a USED_FOR_OTHER_CANCERS column (Yes/No or 1/0) mapped by medication abbreviation (CL_MED_ABBR).","lot_program.R lines 2756-2778 (S00_mma_rollup): USED_FOR_OTHER_CANCERS flag parsed with CASE WHEN upper(trim(cast(USED_FOR_OTHER_CANCERS AS string))) LIKE 'YES%' OR trim(cast(USED_FOR_OTHER_CANCERS AS string)) = '1' THEN 1 ELSE 0 END. Lines 3047-3062 (S05 enriched): CASE WHEN coalesce(ru.USED_FOR_OTHER_CANCERS, 0) = 1 THEN 'Yes' ELSE 'No' END AS MED_OTHER_CANCER. Lines 3068-3085 (dedup): min(MED_OTHER_CANCER) preserves value.",YYY,"Spec: Y - correctly defines MED_other_cancer as Yes/No based on 'Used for other cancers' flag in Tab 40. Protocol: Y - confirms relevance of other cancer indications for study exclusions and sensitivity analyses. Code: Y - implements USED_FOR_OTHER_CANCERS flag from mma_rollup with robust parsing and maps to 'Yes'/'No'.",,,"No discrepancy found. Aligned with protocol."
Section A: Defining Analytic Variables (MISSING FROM SPEC),FU_PD PATID,"Patient identifier","The unique encrypted patient identifier linking claims to a specific patient. PATID is a key output column in the mma_med_processed dataset and is used as part of the 4-column deduplication GROUP BY key: (PATID, MED_ABBR, DATE_SERVICE, CLAIM_TYPE). It is also the primary key for joining patient-level datasets downstream.","Protocol Section 4.1 (Study Design): Each patient is identified by their index date (first MM claim). Protocol Section 4.2 (Inclusion Criteria): All eligibility criteria are applied at the patient level. Protocol Section 4.4: Optum CDM is a de-identified database with encrypted patient identifiers. The PATID ties all MMA_[MED] claims to the eligible cohort from lot_patient_input.","T_MEDICAL: PAT_ID (encrypted patient identifier, links to PAT_PLANID). T_RX: PAT_ID (same encrypted identifier). T_MED_DIAGNOSIS: PAT_ID. T_MEMBER_CONT_ENROLLMENT: PAT_ID. In the R code, the field is mapped as PATID (from Optum's PATID field in the lot_patient_input table). Joins: INNER JOIN lot_patient_input p ON m.PATID = p.PATID ensures only eligible cohort patients are included.","lot_program.R lines 2939/2959/2979/3007 (S04_mma_med_raw): m.PATID / r.PATID selected in all four claim subqueries. Line 2949/2969/2989/3017: INNER JOIN lot_patient_input p ON [m/r].PATID = p.PATID restricts to eligible cohort. Line 3049 (S05 enriched): r.PATID carried through. Line 3072 (dedup): PATID in SELECT. Line 3084: GROUP BY PATID, MED_ABBR, DATE_SERVICE, CLAIM_TYPE.",NYY,"Spec: N - PATID is completely absent from the original program specification's Section A variable list despite being an output column in the mma_med_processed dataset. Protocol: Y - patient-level identification is fundamental to the study design. Code: Y - PATID is a key column in every CTE and the final output, and is part of the dedup GROUP BY key.",,,"PATID is missing from the original spec's Section A: Defining Analytic Variables. The mma_med_processed output has exactly 10 columns, and PATID is one of them. It is present in the code as the first column of every CTE (lines 2939, 2959, 2979, 3007, 3049, 3072) and is part of the GROUP BY deduplication key (line 3084). The spec should include PATID as a defined variable."
