Section,Variable Name,Label,Definition (Validated from Protocol),Additional Notes (Validated from Protocol),Optum CDM Implementation,R Code Implementation,Sync Status (OrigSpec/Protocol/Code),Sync Status Notes,Date Modified (Initials + Date),QC Reviewed (Initials + Date),Discrepancy Found in Original Program Spec
LOT2-5 Classification,LOT2_PLUS_DEFINITION,"Second-line (LOT2) and later LOTs classification","Second-line (LOT2) and later LOTs: Indicated by initiation of new therapy or an SCT after the end of the previous LOT. The LOT rules described above apply to LOT2 and later LOTs with the caveat that for LOT2 and later LOTs the regimen identification window (to determine which MM treatments are present in the LOT) is 30 days instead of 60 days.","Protocol Section 5.1.2: 'Second-line (L2) and later LOTs: Indicated by initiation of new therapy or an SCT after the end of the previous LOT (IL+/- maintenance or IL SCT + maintenance). The LOT rules described above apply to LOT2 and later LOTs with the caveat that for LOT2 and later LOTs the regimen identification window (to determine which MM treatments are present in the LOT) is 30 days instead of 60 days.'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented in spec or code,,,No original spec exists for LOT2-5
LOT2-5 Classification,MAX_LOT_COUNT,"Maximum number of LOTs per patient","Up to five lines of therapy will be identified for the entire follow-up period per patient.","Protocol Section 5.1.1: 'For each patient, up to five lines of therapy will be identified for the entire follow-up period.'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented in spec or code,,,No original spec exists for LOT2-5
LOT2-5 Start,LOTN_START_DT,"LOT N start date (N=2-5)","LOT N begins on the earlier of: (a) a SCT (allogeneic or an unplanned autologous SCT), CAR-T, or (b) the date of the first fill for an MM therapy following the end of the previous LOT.","Protocol Section 5.1.1 LOT start date: 'Subsequent LOTs will begin on the earlier of a SCT (allogeneic or an unplanned autologous SCT), CAR-T or the date of the first fill for an MM therapy following the end of the previous LOT.'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented in spec or code,,,No original spec exists for LOT2-5
LOT2-5 Start,LOTN_REGIMEN_WINDOW,"LOT N regimen identification window (N=2-5)","For LOT2-5: A LOT regimen includes all MM therapies received within 30 days on and following the start of the LOT.","Protocol Section 5.1.1: 'A LOT regimen includes all MM therapies received within 60 (30) days on and following the start of LOT1 (LOT2-5).' (Madduri, 2021)",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented in spec or code,,,No original spec exists for LOT2-5
LOT2-5 Start,LOTN_MED_[MED],"[MED] is present in LOT N regimen (N=2-5)","Binary flag (0/1). =1 if MAP_MED_TYPE=[MED] and LOTN_START_DT <= MAP_START_DT <= (LOTN_START_DT+29) then = 1. Else 0. Analogous to LOT1_MED_[MED] but with 30-day window.","Protocol Section 5.1.1: 'For LOT1, the first therapy received is considered the induction therapy.' LOT2-5 use a 30-day window to identify the regimen (vs 60 days for LOT1).",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented in spec or code,,,No original spec exists for LOT2-5
LOT2-5 Start,LOTN_MED_CNT,"Count of distinct medications in LOT N regimen (N=2-5)","Count of distinct MM therapies present within the first 30 days of LOT N.","Analogous to LOT1_MED_CNT using the 30-day regimen window for LOT2-5.",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented in spec or code,,,No original spec exists for LOT2-5
LOT2-5 End,LOTN_END_DT,"LOT N end date (N=2-5)","The LOT will continue until the earliest of: (1) Substitution of a new MM treatment after the initial agent(s), (2) Discontinuation of all agents in the regimen, (3) Unplanned SCTs (autologous SCT >180 days after previous autologous SCT in the LOT), (4) SCTs not followed by maintenance within 180 days, (5) Death, (6) Health plan disenrollment, (7) End of the study period, (8) End of maintenance regimen.","Protocol Section 5.1.1 LOT end date: Defines 8 LOT end conditions. All rules from LOT1 apply identically to LOT2-5.",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented in spec or code,,,No original spec exists for LOT2-5
LOT2-5 End,LOTN_END_REASON,"Reason LOT N ended (N=2-5)","Categorical: SUBSTITUTION / DISCONTINUATION / SCT_AUTO / SCT_ALLO / SCT_CART / DEATH / DISENROLLMENT / STUDY_END / MAINTENANCE_END. Same end reason definitions as LOT1.","Protocol Section 5.1.1: Same end conditions and priority rules as LOT1.",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented in spec or code,,,No original spec exists for LOT2-5
LOT2-5 End,LOTN_BASE_LENGTH,"LOT N base period duration in days (N=2-5)","Duration from LOTN_START_DT to LOTN_END_DT in days. Same calculation as LOT1_BASE_LENGTH.","Protocol Section 5.3 Data analysis: 'time between LOTs (mean, standard deviation, median, IQR, min, max) will be tabulated.'",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented in spec or code,,,No original spec exists for LOT2-5
LOT2-5 Permissible Substitutions,LOTN_PERMISSIBLE_SUBS,"Permissible substitutions for LOT2-5","The following substitutions do not advance the LOT: (a) Substitution of the reference product for a biosimilar or vice versa, (b) Substitution of daratumumab for daratumumab/hyaluronidase and vice versa, (c) Substitution of rituximab for rituximab/hyaluronidase and vice versa, (d) Substitution of bortezomib induction therapy for ixazomib as a maintenance therapy.","Protocol Section 5.1.1: These permissible substitutions apply to all LOTs (LOT1 through LOT5).",Not yet implemented,Not yet implemented,NNN,Protocol-defined but not yet implemented in spec or code,,,No original spec exists for LOT2-5
