objective,group,variable,definition,functional_form,timing,optum_tables,optum_columns,codelist_needed,status,protocol_ref
Design,Cohort,PATID,Optum patient identifier,id,-,member_enrollment; all claims tables,PATID,-,Have,7.5
Design,Cohort,COHORT,1L / 2L / 3L / Secondary 2L,categorical,-,derived,-,-,Have (Secondary 2L new),7.2.1 / 7.4.1
Design,Cohort,MM_DX_DT,First medical claim for MM meeting the diagnosis criterion,date,First recorded diagnosis date,diagnosis; medical; confinement,DIAG; ICD_FLAG; FST_DT,mm_dx.csv,Have,7.2.1.1
Design,Cohort,INDEX_DT,Start date of that cohort's LOT regimen,date,-,LOT output,LOT_START_DT,-,Have,7.1
Design,Cohort,BASELINE_START / BASELINE_END,12 months prior to index; index date excluded (but see 7.8.1 for comorbidities),date,-,derived,-,-,Have,7.1 / 7.8.1
Design,Cohort,FU_END,"min(end of continuous enrolment, study end, death)",date,-,member_enrollment; dod,ELIGEND; YMDOD,-,Change - end of CE not applied today,7.1
Design,Cohort,TTE_ELIGIBLE,">=3 months of potential follow-up from index, or death before 3 months",flag,-,dod,YMDOD,-,New,7.8.2
Design,Exposure,LOT_START_DT 1-4,Start of each line of therapy,date,-,LOT output,-,cl_mma_codelist.csv; cl_sct_codelist.csv,Have,7.1
Design,Exposure,LOT_END_DT / LOT_DISCON_DT,End of line; discontinuation when all MM agents stopped or a new agent / qualifying SCT introduced,date,-,LOT output,-,-,Have,Table 4 fn / Table 5
Design,Exposure,LOT_REGIMEN 1-4,"Agents within the induction window (60d for 1L, 30d for 2L+)",categorical,At treatment initiation,LOT output,-,cl_mma_rollup.csv,Have,7.1
Design,Exposure,SOC_CATEGORY 1-4,Quadruplet / triplet / doublet / anti-CD38 backbone / CAR-T / BCMA bispecific / non-BCMA bispecific / other novel / other,categorical,At treatment initiation,LOT output,-,Annex 2 (missing),New,7.2.2
Design,Exposure,SCT_DT; SCT_TYPE,Stem cell transplant date and type (autologous / allogeneic; planned vs unplanned),date; categorical,-,procedure; medical,PROC; PROC_CD; BILL_PROC_CD,cl_sct_codelist.csv,Have,7.1 / Table 6
Design,Exposure,CART_DT,CAR-T cellular therapy date,date,-,procedure; medical,PROC; PROC_CD; BILL_PROC_CD,cl_mma_codelist.csv,Have,7.1
Primary 1,Demographics,Age,Age at index,continuous (years); categorical 18-44 / 45-64 / 65-74 / >=75,"At index calendar year (1L, 2L, 3L)",member_enrollment,YRDOB,-,Have,Table 4
Primary 1,Demographics,Sex,Male / Female / Unknown,categorical,"At index (1L, 2L, 3L)",member_enrollment,GDR_CD,-,Have,Table 4
Primary 1,Demographics,Region,"Midwest / South / West / Northeast / Unknown, per US Census Bureau",categorical,"At index (1L, 2L, 3L)",member_enrollment,"REGION if present, else STATE + census crosswalk",-,New - Q9,Table 4
Primary 1,Demographics,Race,Asian / Black / White / Unknown,categorical,"At index (1L, 2L, 3L)",member_enrollment,RACE,-,New,Table 4
Primary 1,Demographics,Ethnicity,Hispanic or Latino / Not Hispanic or Latino / Unknown,categorical,"At index (1L, 2L, 3L)",member_enrollment,ETHNICITY,-,New - Q10 (value list unpublished),Table 4
Primary 1,Demographics,Insurance type,Medicare / Commercial Health Plan,categorical,"At index (1L, 2L, 3L)",member_enrollment,BUS (MCR / COM),-,New,Table 4
Primary 1,Clinical,Charlson Comorbidity Index (Quan 2011),MM-adjusted so 0 = no comorbidity beyond MM,"continuous; categorical 0,1,2,3,4,5+","During baseline (1L, 2L, 3L)",diagnosis,DIAG; ICD_FLAG; FST_DT,charlson_quan2011.csv (to author),New,Table 4
Primary 1,Clinical,Kim Frailty Index (CFI),Claims-based frailty index; CFI >= 0.25 = frail. Pending feasibility,continuous; categorical,"During baseline (1L, 2L, 3L)",diagnosis; procedure; medical; rx,DIAG; PROC; PROC_CD; NDC,Annex 7 (missing),New - may be dropped,Table 4 / Table 1
Primary 1,Clinical,Year of MM diagnosis,Year of first medical claim for MM within the baseline period on or prior to 1L,categorical,First recorded diagnosis date,derived from MM_DX_DT,-,-,Have,Table 4
Primary 1,Clinical,Follow-up time from diagnosis,Diagnosis date (included) to follow-up end date (included),continuous (months),Diagnosis to study period,derived,-,-,Have,Table 4
Primary 1,Clinical,Follow-up time from index,Index date (included) to follow-up end date (included),continuous (months),"Follow-up period (1L, 2L, 3L)",derived,-,-,Have,Table 4
Primary 1,Treatment,"Year of 1L, 2L and 3L initiation","Number and percent of patients by year, from 2019 to latest data availability",categorical,At treatment initiation date,LOT output,LOT_START_DT,-,Have,Table 4
Primary 1,Treatment,"Types of 1L, 2L, 3L SOCs or classes by line","Number and percent by year, from 2017 to 2025 (or latest data availability)",categorical,At treatment initiation date,LOT output,-,Annex 2 (missing),New - Q12 on the 2017 start,Table 4
Primary 1,Safety (baseline),Background prevalence of each key safety event,"Event rate = qualifying events during the LOT baseline / total baseline person-years, with 95% CI. Same-day claims are one event; claims >1 day apart are distinct","rate per PY (per 10,000 or 100,000)","Baseline (1L, 2L, 3L)",diagnosis; confinement; medical,DIAG; ICD_FLAG; FST_DT,Annex 3 (missing),New,7.8.1
Primary 1,HCRU (baseline),All-cause inpatient hospitalisation,Number and proportion with >=1 hospitalisation from any cause; assigned by admit date,count; proportion,"Baseline (1L, 2L, 3L)",confinement,CONF_ID; ADMIT_DATE; DISCH_DATE,-,New,7.8.1
Primary 1,HCRU (baseline),MM-related hospitalisation,Hospitalisation with an MM diagnosis in first or second position,count; proportion,"Baseline (1L, 2L, 3L)",confinement; diagnosis,"DIAG1; DIAG2; or DIAG with DIAG_POSITION IN (1,2)",mm_dx.csv,New,7.8.1
Primary 1,HCRU (baseline),Length of stay,Admit date (included) to discharge date (excluded); stays with no discharge date excluded from LOS summaries,continuous (days),"Baseline (1L, 2L, 3L)",confinement,ADMIT_DATE; DISCH_DATE; LOS,-,New,7.8.1
Primary 1,HCRU (baseline),Emergency visit,ER visit during the baseline period - construction not specified by the protocol,count; proportion,"Baseline (1L, 2L, 3L)",medical,RVNU_CD; POS; PROC_CD,hcru.csv (to author),New - Q11,7.8.1
Primary 2,Safety (on treatment),Incidence of each key safety event,"New events during the LOT treatment period / total PY at risk, with 95% CI. Chronic: first occurrence only; patients with prior history excluded from numerator and denominator. Acute: each new event counts, with a >=30-day washout","rate per PY (per 10,000 or 100,000)","LOT treatment period (1L, 2L, 3L)",diagnosis; confinement; medical,DIAG; ICD_FLAG; FST_DT,Annex 3 (missing),New,7.8.1 / Table 3
Primary 2,Design,LOT treatment period,LOT start (included) to the earlier of the next LOT start (excluded) or discontinuation + 30 days. Events >30 days after discontinuation are not counted at all,window,-,LOT output,LOT_START_DT; LOT_DISCON_DT,-,New,Figure 1 note 2 / 7.3.2
Primary 2,HCRU (on treatment),Healthcare utilization events,"Same as Primary Objective 1, during the LOT treatment period",count; rate,"LOT treatment period (1L, 2L, 3L)",confinement; medical,as above,-,New,Table 4
Primary 3,Secondary malignancy,Type of malignancy,Defined by ICD-10-CM codes. Confirmed by >=2 diagnosis codes on separate dates; the date of the first ICD code is used,categorical; date,"Follow-up period (1L, 2L, 3L)",diagnosis,DIAG; ICD_FLAG; FST_DT,"secondary_malig.csv (Annex 3, missing)",New,Table 4
Primary 3,Secondary malignancy,Secondary malignancy category,Hematological (excluding other myeloma types) / GU / Gyn / H&N / GI / Thoracic (non-H&N) / Breast / Melanoma / Non-melanoma skin / Other,categorical,"Follow-up period (1L, 2L, 3L)",diagnosis,DIAG,secondary_malig.csv (missing),New,Table 2 / Table 4
Primary 3,Secondary malignancy,Time from diagnosis to secondary malignancy,Diagnosis date (included) to date of secondary malignancy (included),continuous (months),Diagnosis to occurrence,derived,-,-,New,Table 4
Primary 3,Secondary malignancy,Time from 1L/2L index to secondary malignancy,1L or 2L index (included) to date of secondary malignancy (included); 2L only among those where the malignancy occurred after 2L,continuous (months),-,derived,-,-,New,Table 4
Primary 3,Secondary malignancy,Prevalence and incidence of secondary malignancy,"Calculated as for Objectives 1 and 2, adhering to the chronic-condition rules. Nested 1L cohort: incidence only (prior malignancy excluded). 2L cohort: prevalence and incidence",rate,"Follow-up period (1L, 2L, 3L)",diagnosis,DIAG,secondary_malig.csv (missing),New,Table 4 / 7.8.1
Primary 3,Secondary malignancy,LoT after which the malignancy occurred,The LoT after which the malignancy is identified,categorical,Follow-up period,LOT output,-,-,New,Table 4
Primary 3,Secondary malignancy,Top treatment sequences among those with malignancy,Top 5-10 sequences among those with a malignancy occurring after treatment,tabulation,Follow-up period,LOT output,-,Annex 2 (missing),New,Table 4
Secondary 1,Treatment patterns,Patients receiving each line,"Number and percent receiving each 1L, 2L, 3L and 4L regimen",count; percent,Follow-up period,LOT output,-,-,Have (counts); regimen labels new,Table 5
Secondary 1,Treatment patterns,Treatment regimens received,Regimen categories per 7.2.2,categorical,Overall sequence 1L to 4L,LOT output,-,Annex 2 (missing),New,Table 5
Secondary 1,Treatment patterns,Switch between successive LOTs,"Sankey diagram of switches between regimen categories, including to no subsequent treatment due to death or censoring",diagram + table,Follow-up period,LOT output,-,Annex 2 (missing),New,Table 5 / 7.8.2
Secondary 1,Treatment patterns,Treatment attrition,"Number and percent who received each subsequent LOT, discontinued and did not receive another, were lost to follow-up, or died",count; percent,Overall sequence 1L to 4L start,LOT output; dod,YMDOD,-,New,Table 5
Secondary 1,Treatment patterns,Time from diagnosis to 1L initiation,Diagnosis date (included) to index date (excluded),continuous (months),1L index,derived,-,-,Have,Table 5
Secondary 1,Treatment patterns,Time from prior LOT to next LOT initiation,"Prior LOT start (included) to next LOT start (excluded), among those initiating a subsequent LOT",continuous (months),"1L->2L, 2L->3L, 3L->4L",LOT output,-,-,Have,Table 5
Secondary 1,Outcomes,TTNT - time to next treatment,Index LOT start (included) to the earliest of next LOT start or death (excluded); otherwise censored at follow-up end date,time-to-event; Kaplan-Meier,"During each LOT (1L, 2L, 3L)",LOT output; dod,YMDOD,-,New,Table 5 / 7.8.2
Secondary 1,Outcomes,TTD - time to treatment discontinuation,"Index LOT start (included) to the earliest of discontinuation, next LOT initiation, or death (excluded); otherwise censored at follow-up end date",time-to-event; Kaplan-Meier,"During each LOT (1L, 2L, 3L)",LOT output; dod,YMDOD,-,New,Table 5
Secondary 1,Outcomes,OS - overall survival,LOT start (included) to date of death (excluded); otherwise censored at follow-up end date,time-to-event; Kaplan-Meier,Follow-up period,LOT output; dod,YMDOD,-,New,Table 5
Secondary 1,Outcomes,KM reporting,"Median with Brookmeyer-Crowley 95% CI; n at risk, with event, censored; survival probabilities with 95% CI at 6, 9, 12, 18, 24 months. No log-rank, no p-values",estimates,-,-,-,-,New,7.8.2
Exploratory 1,SCT,Trends in the use of SCT,"Number of patients with an SCT in 1L-4L by year, according to SOC type",count,Follow-up period,procedure; medical,PROC; PROC_CD,cl_sct_codelist.csv,New (partial - SCT already identified),Table 6
Subgroups,Stratification,SOC category,"All primary and secondary outcomes, SOCs within each LOT",stratifier,-,LOT output,-,Annex 2 (missing),New,Table 1
Subgroups,Stratification,Age >=75 vs <75,Proxy for transplant-ineligible vs eligible. All primary and secondary by LOT only; 1L and 2L safety and HCRU at baseline and follow-up only,stratifier,-,member_enrollment,YRDOB,-,New,Table 1
Subgroups,Stratification,Neuropathy,"Baseline history of neuropathy. Secondary objective by LOT only, 1L and 2L outcomes",stratifier,During baseline,diagnosis,DIAG; ICD_FLAG; FST_DT,"comorbid_subgroups.csv (Annex 3, missing)",New,Table 1
Subgroups,Stratification,Frailty status,"Kim CFI >= 0.25. Secondary objective by LOT only, 1L and 2L outcomes. Dependent on data use and mapping availability",stratifier,During baseline,diagnosis; procedure; medical; rx,-,Annex 7 (missing),New - may be dropped,Table 1
Subgroups,Stratification,Lung parenchymal disease,"Baseline history of COPD, asthma, bronchiectasis, emphysema",flag,During baseline,diagnosis,DIAG; ICD_FLAG; FST_DT,comorbid_subgroups.csv (missing),New,7.2.3
Subgroups,Rule,Small-cell suppression,"Stratifications with <25 patients will not be performed, or may be regrouped (unless specific to SOC)",rule,-,-,-,-,New,7.2.3 / 7.8
