Section,Variable Name,Label,Definition (Validated from Protocol),Additional Notes (Validated from Protocol),Optum CDM Implementation,R Code Implementation,Sync Status (OrigSpec/Protocol/Code),Sync Status Notes,Date Modified (Initials + Date),QC Reviewed (Initials + Date),Discrepancy Found in Original Program Spec
Section A: Defining MAP Medications - SCT,LOT1_TX_AUTO_DT_1,"Date of patient's first AUTO transplant after LOT1_START_DT, missing if none","For each patient: Identify the patient's earliest processed AUTO SCT date TX_AUTO{i} where LOT1_START_DT <= TX_AUTO{i} <= ENDDATE (OBS_END_DT). Additionally, AUTO SCTs occurring after the first ALLO or CAR-T event are excluded from LOT1 consideration, since ALLO/CAR-T immediately end the LOT.","Protocol Section 5, LOT end date rule 3: 'Single autologous SCT or tandem stem-cell transplants <=180 days apart are considered planned and a continuation of the line of therapy. Codes for SCTs are in the programming specification document.' Protocol Section 5, Events that will not end the LOT: 'Single autologous SCT or tandem SCTs >=60 to <=180 days apart.' The first AUTO SCT within LOT1 is always allowed. Tab 47 contains SCT procedure codes.","T_MEDICAL: PROC_CD and BILL_PROC_CD fields matched against HCPCS codes (38241=AUTO, 38240=ALLO, S2150=ALLO, Q2042/Q2054/Q2055/Q2056=CART). T_MED_PROCEDURE: PROC field for ICD-10/ICD-9 procedure codes and HCPCS. T_MED_DIAGNOSIS: DIAG field for ICD diagnosis codes. FST_DT used as DATE_SERVICE. Claims filtered to INDEX_DATE <= FST_DT <= OBS_END_DT. Deduplicated to one record per (PATID, DATE_SERVICE, SCT_TYPE).","lot_program.R Step S12 (lines 3521-3599): sct_claims_raw extracts from tbl_medical (PROC_CD, BILL_PROC_CD), tbl_med_proc (PROC), tbl_med_diag (DIAG). Step S13 (lines 3604-3793): tx_auto_dates processes AUTO claims with 14-day windowing and 60-day gap logic using Spark aggregate(). Step S15 (lines 3827-3983): lot1_sct CTE auto_in_lot1 (line 3847) filters AUTO dates to LOT1_START_DT..OBS_END_DT and before earliest ALLO/CART. auto_pivot (line 3857) pivots to AUTO_DT_1. Line 3901: 'ap.AUTO_DT_1 AS LOT1_TX_AUTO_DT_1'.",YYY,"Spec, protocol, and code all agree. Spec correctly defines the variable as the first AUTO SCT date within LOT1_START_DT to ENDDATE. Code adds the additional constraint of excluding AUTO events after the first ALLO/CART, which is consistent with protocol rule that ALLO/CART immediately end LOT1.",,,No discrepancy found. Aligned with protocol.
Section A: Defining MAP Medications - SCT,LOT1_TX_AUTO_DT_2,"Date of patient's second AUTO transplant after LOT1_START_DT, missing if none","For each patient: Let the subsequent AUTO SCT date following the AUTO SCT date used to define LOT1_TX_AUTO_DT_1 be TX_AUTO{i+1}. If not missing(LOT1_TX_AUTO_DT_1) then = TX_AUTO{i+1}. If missing(TX_AUTO{i+1}) then = missing. This is the second processed AUTO SCT date within LOT1, subject to the same constraints as LOT1_TX_AUTO_DT_1 (within LOT1_START_DT to OBS_END_DT and before any ALLO/CART).","Protocol Section 5: Tandem SCT requires 'at least two autologous SCTs >=60 to <=180 days apart.' The second AUTO date is needed to evaluate the tandem condition. Tab 47 contains SCT procedure codes.","Same tables as LOT1_TX_AUTO_DT_1. The second AUTO SCT claim is identified from the processed tx_auto_dates after 14-day windowing and 60-day gap enforcement.","lot_program.R Step S15 (lines 3857-3863): auto_pivot CTE pivots LOT1_SEQ=2 to AUTO_DT_2. Line 3860: 'max(CASE WHEN LOT1_SEQ = 2 THEN TX_DT END) AS AUTO_DT_2'. Line 3902: 'ap.AUTO_DT_2 AS LOT1_TX_AUTO_DT_2'.",YYY,"All sources agree. The second AUTO date is the next processed AUTO event after the first, within LOT1 boundaries.",,,No discrepancy found. Aligned with protocol.
Section A: Defining MAP Medications - SCT,LOT1_SCT_AUTO_TAND_FLG,"Patient had tandem AUTO SCT during LOT1","Binary flag (0 or 1). =1 if (LOT1_TX_AUTO_DT_2 - LOT1_TX_AUTO_DT_1 + 1) <= 180 AND LOT1_TX_AUTO_DT_2 <= ENDDATE AND there is not an ALLO SCT such that LOT1_TX_AUTO_DT_1 <= TX_ALLO{i} <= LOT1_TX_AUTO_DT_2. Else = 0. A planned tandem SCT is two autologous SCTs >=60 to <=180 days apart with no intervening allogeneic SCT.","Protocol Section 5, Planned Tandem SCT: 'Patients will be classified as having a planned tandem SCT if they receive at least two autologous SCTs >=60 to <=180 days apart; otherwise, they will be considered unplanned. An autologous SCT followed by an allogeneic SCT will not be considered planned because an allogeneic SCT typically follows failed autologous SCTs.' Events that will not end the LOT: 'Tandem SCTs are two SCTs >=60 to <=180 days apart. These are considered planned and a continuation of the line of therapy.'","Derived field. Based on LOT1_TX_AUTO_DT_1, LOT1_TX_AUTO_DT_2, and check for ALLO SCTs between them via tx_allo_cart_dates.","lot_program.R Step S15 (lines 3885-3909): allo_between CTE (line 3887) checks for ALLO events between AUTO_DT_1 and AUTO_DT_2. sct_derived CTE (lines 3903-3909): 'WHEN ap.AUTO_DT_2 IS NOT NULL AND datediff(ap.AUTO_DT_2, ap.AUTO_DT_1) + 1 <= 180 AND coalesce(ab.n_allo_between, 0) = 0 THEN 1 ELSE 0'. QC validation at line 4170 confirms tandem and single flags are mutually exclusive.",NYY,"Spec says '(LOT1_TX_AUTO_DT_2 - LOT1_TX_AUTO_DT_1 + 1) <= 180' which matches code's 'datediff + 1 <= 180'. However, the spec does NOT mention the >=60 day minimum gap between tandem SCTs that the protocol explicitly requires ('>=60 to <=180 days apart'). The code enforces the 60-day gap via the AUTO date processing in Step S13 (sct_auto_gap_days=60), so protocol and code agree but spec omits the >=60 day lower bound.",,,Partial discrepancy: Spec omits the >=60 day minimum gap between tandem AUTO SCTs. Protocol Section 5 clearly states 'at least two autologous SCTs >=60 to <=180 days apart.' The 60-day gap is enforced in code (Step S13 sct_auto_gap_days=60) but not explicitly stated in the spec's tandem flag definition.
Section A: Defining MAP Medications - SCT,LOT1_SCT_AUTO_SING_FLG,"Patient had single AUTO SCT during LOT1","Binary flag (0 or 1). =1 if not missing(LOT1_TX_AUTO_DT_1) and LOT1_SCT_AUTO_TAND_FLG=0. Else = 0. Indicates the patient had a single (non-tandem) autologous SCT during LOT1.","Protocol Section 5: Single autologous SCTs are considered a continuation of the line of therapy and do not end the LOT. The single flag is the complement of the tandem flag when an AUTO SCT exists.","Derived field. Logical complement of LOT1_SCT_AUTO_TAND_FLG when LOT1_TX_AUTO_DT_1 is not null.","lot_program.R Step S15 (lines 3910-3917): 'WHEN ap.AUTO_DT_1 IS NOT NULL AND NOT (ap.AUTO_DT_2 IS NOT NULL AND datediff(ap.AUTO_DT_2, ap.AUTO_DT_1) + 1 <= 180 AND coalesce(ab.n_allo_between, 0) = 0) THEN 1 ELSE 0'. Flags are mutually exclusive per QC at line 4170.",YYY,"All sources agree. Single flag = has AUTO_DT_1 but not a valid tandem.",,,No discrepancy found. Aligned with protocol.
Section A: Defining MAP Medications - SCT,LOT1_TX_ENDDATE,"Potential end date of LOT1 due to SCT-related issue","Date (or missing). Determines when LOT1 could potentially end due to an SCT event. For AUTO SCTs: The day before the date of a second transplant if the second transplant occurred more than 180 days after first transplant (unplanned AUTO), OR the day before the date of a third transplant following a successful tandem transplant. For ALLO SCTs: The day before the date of the ALLO SCT. For CAR-T: The day before the date of the CAR-T. The earliest of these SCT-ending events minus 1 day is the LOT1_TX_ENDDATE. If no SCT-ending event exists, set to missing.","Protocol Section 5, LOT end date rule 3 (Unplanned SCTs): 'If an autologous SCT occurs >180 days following a previous autologous SCT in the LOT, then the LOT will end the day before the latter SCT. Any allogeneic SCTs are considered a new LOT and the current LOT will end the day before an allogeneic SCT occurs. Single autologous SCTs and tandem SCTs are not unplanned SCTs and are considered a continuation of the line of therapy.' Protocol also states: 'Presence of an allogeneic SCT immediately ends a LOT' and 'CAR-T cellular therapy infusions should be classified as their own LOT.'","Derived field. Computed from tx_auto_dates (AUTO), tx_allo_cart_dates (ALLO/CART) via lot1_sct. Uses date_sub(least(ENDING_AUTO_DT, FIRST_ALLO_DT, FIRST_CART_DT), 1) to get the day before the earliest LOT-ending SCT event.","lot_program.R Step S15 (lines 3918-3948): ENDING_AUTO_DT (lines 3920-3928): if tandem then AUTO_DT_3 (3rd AUTO ends LOT), if single then AUTO_DT_2 (2nd AUTO ends LOT). LOT1_TX_ENDDATE (lines 3939-3948): 'date_sub(least(coalesce(ENDING_AUTO_DT, 9999-12-31), coalesce(FIRST_ALLO_DT, 9999-12-31), coalesce(FIRST_CART_DT, 9999-12-31)), 1)'. Takes earliest SCT-ending event and subtracts 1 day.",YYY,"All three sources agree on the logic. Spec describes the iterative approach (iterate over ALLO SCTs, CAR-Ts); code implements the same via CTEs for earliest_non_auto, first_allo, first_cart, and ENDING_AUTO_DT. The spec's iteration description is more verbose but logically equivalent to the code's min/least approach.",,,No discrepancy found. Aligned with protocol.
Section A: Defining MAP Medications - SCT,LOT1_TX_ENDDATE_REASON,"Reason for LOT1 SCT-related end","Categorical: 1=AUTO SCT reason, 2=ALLO SCT reason, 3=CAR-T reason, missing=no TX end reason. Indicates which type of SCT event triggered the potential LOT1 end. Set based on which SCT-ending event (ENDING_AUTO_DT, FIRST_ALLO_DT, FIRST_CART_DT) is earliest.","Protocol Section 5: AUTO SCTs >180 days apart are unplanned and end the LOT (reason=1). Allogeneic SCTs immediately end the LOT and start a new LOT (reason=2). CAR-T infusions are classified as their own LOT (reason=3). Priority follows whichever event occurs earliest.","Derived field. Determined by comparing ENDING_AUTO_DT, FIRST_ALLO_DT, FIRST_CART_DT to find which is earliest.","lot_program.R Step S15 (lines 3950-3962): CASE logic compares coalesced dates (using 9999-12-31 sentinel for NULLs). If ENDING_AUTO_DT <= FIRST_ALLO_DT AND <= FIRST_CART_DT then 1. Elif FIRST_ALLO_DT <= FIRST_CART_DT then 2. Else 3. NULL if no SCT-ending event. Step S16 (lines 4006-4010): maps reason 1='SCT_AUTO', 2='SCT_ALLO', 3='SCT_CART' for LOT1_BASE_END_REASON.",YYY,"All three sources agree on the reason coding (1=AUTO, 2=ALLO, 3=CART) and the logic to select the earliest event.",,,No discrepancy found. Aligned with protocol.
Section A: Defining MAP Medications - SCT,LOT1_1ST_SCT_DT,"Date of earliest SCT during LOT1","Date (or missing). Set to min(LOT1_TX_AUTO_DT_1, LOT1_TX_ENDDATE) when at least one exists. If both fields are missing then set to missing. More precisely, this is the earliest SCT of any type (AUTO, ALLO, or CART) occurring during LOT1.","Protocol Section 5: SCT is operationalized as >=1 procedure code for an SCT during the LOT. This variable captures the date of the first such event regardless of type (AUTO, ALLO, or CART).","Derived field. Computed as least(LOT1_TX_AUTO_DT_1, FIRST_ALLO_DT, FIRST_CART_DT) from lot1_sct.","lot_program.R Step S15 (lines 3963-3972): 'least(coalesce(LOT1_TX_AUTO_DT_1, 9999-12-31), coalesce(FIRST_ALLO_DT, 9999-12-31), coalesce(FIRST_CART_DT, 9999-12-31))'. Returns NULL if all three are NULL.",NYY,"Spec definition says 'Set to min(LOT1_TX_AUTO_DT_1, LOT1_TX_ENDDATE)' which is incomplete. The code and protocol define it as the earliest of AUTO_DT_1, FIRST_ALLO_DT, and FIRST_CART_DT -- not LOT1_TX_ENDDATE. LOT1_TX_ENDDATE is a derived end date (day before the ending event), not the actual SCT date. Protocol and code agree on using actual first SCT dates.",,,Discrepancy found: Spec defines LOT1_1ST_SCT_DT as 'min(LOT1_TX_AUTO_DT_1, LOT1_TX_ENDDATE)' but this is incorrect. LOT1_TX_ENDDATE is the day BEFORE an SCT-ending event (i.e. the end date of LOT1 due to SCT) and would be 1 day earlier than the actual SCT. The correct definition per code (line 3963-3972) is min(LOT1_TX_AUTO_DT_1, FIRST_ALLO_DT, FIRST_CART_DT) which uses the actual SCT dates. The spec should reference FIRST_ALLO_DT and FIRST_CART_DT rather than LOT1_TX_ENDDATE.
Section A: Defining MAP Medications - SCT,TX_YYYYX,"Date of YYYY SCT X (e.g. TX_AUTO1, TX_ALLO1, TX_CART1)","Date (or missing). Where YYYY = AUTO, ALLO, or CART. X = 1, 2, 3, ... A patient may have X AUTO/ALLO transplants. If a patient has no SCT YYYY claims then their values for TX_YYYYX will be set to missing for all X. For AUTO: Iterate over the patient's ordered AUTO SCT claims (sct_DT_SOURCE). Set TX_AUTO1 to equal max(sct_DT_SOURCE) occurring in (earliest sct_DT_SOURCE + 13) -- i.e. the last claim in the first 14-day window. For X>1: if (sct_DT_SOURCE - TX_AUTO(X-1)) >= 60 then start a new 14-day window. If the 14-day window overlaps with the 180-day tandem boundary from the previous TX date, select the claim date closest to the boundary instead of the last date. For ALLO and CART: each distinct claim date is a separate TX event in order.","Protocol Section 5: SCT processing uses a 14-day window to group SCT-related claims and identify the actual transplant date (last claim in window). Selected SCT dates must be at least 60 days apart. Tandem AUTO SCTs must be >=60 to <=180 days apart (Protocol Section 5). The 14-day window and 60-day gap are implementation details from the programming specification; the protocol defines the clinical rules.","T_MEDICAL: PROC_CD and BILL_PROC_CD matched to HCPCS codes. T_MED_PROCEDURE: PROC field matched to ICD/HCPCS codes. T_MED_DIAGNOSIS: DIAG field for ICD diagnosis codes. sct_DT_SOURCE corresponds to FST_DT (first service date). Claims filtered to INDEX_DATE <= FST_DT <= OBS_END_DT and deduplicated per (PATID, DATE_SERVICE, SCT_TYPE).","lot_program.R Step S13 (lines 3604-3793): tx_auto_dates - AUTO processing with Spark aggregate(). 14-day window: datediff(x, cur_start) <= 13 (line 3667, cfg$sct_auto_window_days=13). Selects max date in window (cur_max_dt) or tandem boundary-closest date (cur_boundary_dt). 60-day gap: datediff < sct_auto_gap_days(=60) discards window (lines 3706-3709). Tandem boundary: date_add(last_tx_dt, 179) = 180-day mark (lines 3678, 3746). Step S14 (lines 3795-3825): tx_allo_cart_dates - ALLO/CART simple row_number() ordering per distinct date.",YYY,"Spec, protocol, and code all agree on the core logic. The spec's pseudocode description of the 14-day windowing, 60-day gap, and 180-day tandem boundary adjustment matches the code's implementation. ALLO and CART use simple sequential ordering without windowing, as described in spec and implemented in code.",,,No discrepancy found. Aligned with protocol.
Section B: SCT Examples,SCT Processing Algorithm,"14-day window and 60-day gap logic for identifying SCT dates from claims","The patient-level SCT dataset contains processed dates for AUTO, ALLO, and CART transplants. For AUTO SCTs: (1) Group claims into 14-day windows starting from the earliest claim date. The actual SCT date is the LAST claim in the 14-day window (not the first -- first claims are workup activity). (2) All selected SCT dates must be at least 60 days apart. Claims within 60 days of a selected date are skipped. (3) If the 14-day window overlaps with the 180-day tandem boundary from the previous selected SCT, then select the claim date closest to the 180-day mark instead of the last date. This adjustment allows tandem AUTO SCTs to be appropriately captured. For ALLO and CART: Each distinct claim date is a separate event (no windowing or gap logic).","Protocol Section 5: 'Tandem SCTs are two SCTs >=60 to <=180 days apart. These are considered planned and a continuation of the line of therapy.' The 14-day window for claims processing is an implementation detail. Protocol footnote 1: 'SCTs must be within 60 days after the end of the induction or maintenance regimen to be considered a continuation of the LOT. This 60-day rule was recommended by Optum's KOL (Dr Allan Stawis) and informed by Charalampous et al.'s findings that the median time from end of induction to transplant was 33 days (IQR=27-42).'","Raw claims from T_MEDICAL (PROC_CD, BILL_PROC_CD), T_MED_PROCEDURE (PROC), T_MED_DIAGNOSIS (DIAG). Claims joined to SCT codelist (Tab 47/48) for SCT_TYPE classification. Deduplicated to (PATID, DATE_SERVICE, SCT_TYPE). AUTO claims processed through 14-day windowing + 60-day gap + tandem boundary adjustment algorithm. ALLO/CART claims simply ordered sequentially.","lot_program.R Step S13 (lines 3604-3793): Full AUTO processing algorithm using Spark SQL aggregate() with state tracking (tx_dates array, cur_start, cur_max_dt, cur_boundary_dt, cur_boundary_dist, last_tx_dt). Config: sct_auto_window_days=13 (line 87), sct_auto_gap_days=60 (line 88), sct_tandem_days=180 (line 89). Step S14 (lines 3795-3825): ALLO/CART simple row_number() ordering. Example from spec: Patient A AUTO dates 01MAY2018-14NOV2018; TX_AUTO1=09MAY2018 (last in 14-day window), skip claims within 60 days, next window starts 06NOV2018, TX_AUTO2=07NOV2018 (closest to 180-day boundary, not 14NOV2018 which would be the last in window).",YYY,"Spec example matches code logic. The spec provides a detailed worked example (Patient A) that demonstrates the 14-day window, 60-day gap, and 180-day tandem boundary adjustment. Code implements this exactly with cfg parameters.",,,No discrepancy found. Aligned with protocol.
Section A: Defining MAP Medications - SCT,SCT_CODELIST,"SCT procedure codes (Tab 47/48)","Code list defining SCT procedure codes used to identify transplant claims. Includes HCPCS, ICD-10 procedure, ICD-9 procedure, and ICD diagnosis codes. SCT types: AUTO (autologous), ALLO (allogeneic), CART (CAR-T). Core embedded HCPCS codes: 38241=AUTO, 38240=ALLO, S2150=ALLO, Q2042/Q2054/Q2055/Q2056=CART.","Protocol Section 5: 'SCT is operationalized as >=1 procedure code for an SCT. Codes for SCTs are in the programming specification document.' Tab 47 referenced in spec for code lists.","External codelist table (cl_sct_codelist) or embedded codes. Matched against T_MEDICAL.PROC_CD, T_MEDICAL.BILL_PROC_CD, T_MED_PROCEDURE.PROC, T_MED_DIAGNOSIS.DIAG. Code type normalization: CPT/CPT4->HCPCS, ICD10PROC/ICD10PCS->ICD10PROC, ICD10DIAG/ICD10DX->ICD10DIAG.","lot_program.R Step S11 (lines 3482-3519): sct_codelist view created with code type normalization and SCT_TYPE standardization (Allogenic->ALLO, Autologous->AUTO, CAR-T/CART/CAR_T->CART). Embedded codes (lines 284-305): 38241=AUTO, 38240=ALLO, S2150=ALLO, Q2042/Q2054/Q2055/Q2056=CART. Step S12 (lines 3521-3599): joins codelist to medical/procedure/diagnosis tables.",YYY,"Spec references Tab 47 and code implements both external codelist and embedded fallback codes. CPT 38241=AUTO and 38240=ALLO per AMA CPT definitions.",,,No discrepancy found. Aligned with protocol.
